,term,horse,bear,cat,dog,cow,leg,arm,hand,foot,eye,apartment,igloo,barn,house,church,door,closet,chimney,window,arch,shirt,pants,skirt,coat,dress,chair,dresser,bed,table,desk,ant,butterfly,fly,bee,beetle,knife,bottle,glass,spoon,cup,telephone,key,watch,refrigerator,bell,screwdriver,chisel,pliers,saw,hammer,tomato,celery,corn,carrot,lettuce,bicycle,car,train,truck,airplane
10,apartment,0.698720549,0.762514217,0.59665849,0.621619848,0.608525175,0.445906889,0.231246861,0.482260336,0.448295979,0.744343448,1.0,0.753174962,0.86873673,0.89255608,0.86457651,0.845000981,0.826335944,0.806728889,0.871234169,0.85263397,0.737148653,0.657407995,0.679265063,0.690409427,0.636133353,0.722703039,0.800104462,0.785024493,0.68627747,0.79175051,0.458603101,0.766716317,0.561849345,0.70316454,0.649770817,0.406868658,0.648570301,0.698239254,0.494631212,0.61599321,0.677114393,0.583413792,0.605498872,0.851915746,0.722088722,0.255474917,0.584987231,0.503168288,0.529686243,0.356401056,0.5878244,0.295192793,0.64987897,0.399071455,0.730971261,0.689023926,0.722454283,0.822749528,0.710393427,0.7333148
11,igloo,0.661859458,0.688276774,0.670116424,0.640349366,0.679977296,0.570472405,0.403760188,0.536715676,0.530903722,0.85097392,0.753174962,1.0,0.788704779,0.794275287,0.826741142,0.788933309,0.839893339,0.825605493,0.77888238,0.672665948,0.740374235,0.748989619,0.707863696,0.746116153,0.698227468,0.798393144,0.768729183,0.789395574,0.754383815,0.814317243,0.617471515,0.68452823,0.625255865,0.725678048,0.690654541,0.530042573,0.724321304,0.646551706,0.580954022,0.57073485,0.69773224,0.668494513,0.771668119,0.795106398,0.774821206,0.428157567,0.634482998,0.58128602,0.606070163,0.527421444,0.41555249,0.403774201,0.759892781,0.47558777,0.739593519,0.73607331,0.753110237,0.824185563,0.746617729,0.724672454
12,barn,0.711925041,0.737495482,0.622361099,0.619352534,0.65124144,0.470127319,0.356480286,0.513918338,0.526571536,0.772128085,0.86873673,0.788704779,1.0,0.873784397,0.818133303,0.80874183,0.840518077,0.80195039,0.834800608,0.770293244,0.738775428,0.619248567,0.613320106,0.715657844,0.631703128,0.739525357,0.793933054,0.775475133,0.759230694,0.827408497,0.505037455,0.703173207,0.614139975,0.717945394,0.634083092,0.408635402,0.646003814,0.674805034,0.518780449,0.614173155,0.705089389,0.581283682,0.684338182,0.796651424,0.737869906,0.273756394,0.59559485,0.46934337,0.571972295,0.38251757,0.56034607,0.375586836,0.661230355,0.501225083,0.706020644,0.714798841,0.758684977,0.815631479,0.817320096,0.801912408
13,house,0.635954295,0.703997457,0.529146829,0.588550497,0.651020505,0.356239654,0.172804588,0.388721049,0.360436618,0.74025871,0.89255608,0.794275287,0.873784397,1.0,0.85994021,0.768550118,0.791540072,0.775034895,0.790036859,0.774140814,0.674816834,0.584521232,0.62287305,0.643028006,0.557778552,0.656851949,0.752717445,0.786974604,0.643337027,0.795820526,0.474113703,0.719488943,0.545242003,0.665360655,0.609945478,0.338148103,0.55222093,0.590848707,0.435154446,0.585554263,0.631076389,0.537113802,0.626329287,0.787016031,0.713688312,0.197022956,0.470973498,0.469189402,0.476218434,0.341737679,0.512641999,0.301658294,0.615431158,0.407944419,0.69913019,0.633268174,0.788315504,0.815475521,0.734614242,0.730749015
14,church,0.632664013,0.686622185,0.56870617,0.601964542,0.621610938,0.481074589,0.309655281,0.449913405,0.464908067,0.764176655,0.86457651,0.826741142,0.818133303,0.85994021,1.0,0.835882351,0.863567031,0.855078255,0.838636654,0.774188114,0.688806725,0.699218001,0.670783491,0.692567142,0.644625981,0.773272163,0.801852237,0.838800485,0.750694445,0.8325866,0.467081394,0.667500189,0.539199224,0.658002773,0.614349915,0.460665555,0.697161418,0.67482882,0.512572222,0.561995993,0.673123087,0.56728015,0.696984508,0.85243759,0.750296376,0.340616684,0.557145949,0.55498028,0.573876884,0.448393393,0.460718176,0.367576157,0.67364873,0.421551182,0.727649198,0.695612497,0.714085239,0.826501117,0.705087,0.706253229
15,door,0.664958897,0.697947834,0.707444607,0.654742527,0.614215176,0.660155991,0.389011118,0.605931004,0.573216045,0.789955439,0.845000981,0.788933309,0.80874183,0.768550118,0.835882351,1.0,0.880924845,0.868153874,0.86371446,0.765631485,0.741653979,0.783188832,0.687193897,0.765228337,0.744910849,0.820098141,0.762004908,0.765522064,0.788327329,0.769266091,0.531765466,0.705776915,0.576131909,0.74220725,0.627556462,0.49872019,0.817402935,0.770690911,0.51271576,0.688838595,0.704642488,0.721542303,0.739273321,0.860243832,0.758880817,0.365947917,0.674112727,0.538488781,0.609825649,0.443523372,0.484829646,0.277677307,0.765617095,0.370305276,0.743024981,0.744535093,0.694548767,0.837038812,0.68666833,0.699127401
16,closet,0.715602655,0.687266342,0.673670486,0.612249111,0.605649559,0.643443005,0.464889005,0.615072782,0.621563044,0.838725235,0.826335944,0.839893339,0.840518077,0.791540072,0.863567031,0.880924845,1.0,0.879878928,0.878897406,0.738418121,0.721307596,0.764099305,0.698549971,0.757287464,0.723433316,0.87249887,0.809828167,0.825031937,0.818430195,0.874760808,0.514300303,0.635679261,0.591278273,0.729614406,0.653872711,0.522676639,0.774935902,0.719266488,0.58456527,0.577749903,0.736774295,0.633344399,0.794787697,0.835930455,0.722507308,0.430988241,0.702437472,0.525635935,0.598066684,0.50460572,0.392240837,0.312675692,0.751868583,0.463870836,0.70682457,0.801271093,0.740679863,0.883243925,0.787450798,0.748006524
17,chimney,0.758883286,0.759290981,0.688215842,0.69851758,0.717023244,0.673673651,0.5137902,0.589216832,0.669381427,0.843607785,0.806728889,0.825605493,0.80195039,0.775034895,0.855078255,0.868153874,0.879878928,1.0,0.869800773,0.717016783,0.767034144,0.819887032,0.752097957,0.825563387,0.772528879,0.819035964,0.769793529,0.866802607,0.854756698,0.842659125,0.636946282,0.675624229,0.664989192,0.783280872,0.707544795,0.607516523,0.763216352,0.653133948,0.655339771,0.653977676,0.807966094,0.647988253,0.858846895,0.861644897,0.775552999,0.554518048,0.728031403,0.671706737,0.696735244,0.595994545,0.451118767,0.457083046,0.772735747,0.514505188,0.763781516,0.831778583,0.743953094,0.859954081,0.767059252,0.789290383
18,window,0.762504407,0.718538359,0.66620342,0.622478394,0.579022174,0.610803185,0.376803496,0.623167453,0.589509253,0.808566088,0.871234169,0.77888238,0.834800608,0.790036859,0.838636654,0.86371446,0.878897406,0.869800773,1.0,0.787758096,0.793958527,0.759233212,0.739121469,0.798309313,0.745112593,0.856907448,0.827465699,0.792396252,0.796831059,0.82989874,0.481416471,0.709505834,0.617041171,0.754878537,0.676641461,0.522387519,0.781100753,0.795051312,0.5753143,0.666931381,0.778441799,0.67834292,0.742430693,0.884541962,0.785554954,0.407932407,0.729379866,0.576267787,0.593219104,0.498092036,0.586895548,0.428371253,0.78455792,0.458078648,0.786178538,0.769819025,0.670235714,0.804625199,0.73520239,0.74212227
19,arch,0.610092687,0.671839762,0.491564739,0.50595727,0.506031606,0.395334926,0.280516497,0.423683991,0.435039836,0.680787129,0.85263397,0.672665948,0.770293244,0.774140814,0.774188114,0.765631485,0.738418121,0.717016783,0.787758096,1.0,0.621338722,0.588114407,0.551122054,0.606607053,0.560488847,0.645631875,0.789760667,0.672149049,0.695106681,0.742040004,0.398586211,0.62696496,0.489603209,0.604512597,0.568431229,0.50039137,0.645831232,0.634175822,0.488236771,0.657002693,0.569046417,0.536075878,0.561291958,0.756289255,0.698182583,0.351044379,0.567810011,0.49227023,0.596793055,0.427287858,0.525820496,0.316577191,0.620525934,0.43880797,0.636221474,0.630248566,0.692750988,0.800162239,0.693101078,0.709134887
20,shirt,0.87857614,0.834255561,0.813089036,0.840423267,0.777311805,0.67878046,0.494432621,0.778000088,0.72783773,0.833418748,0.737148653,0.740374235,0.738775428,0.674816834,0.688806725,0.741653979,0.721307596,0.767034144,0.793958527,0.621338722,1.0,0.827948141,0.865761827,0.89875599,0.865961853,0.807422864,0.770475321,0.735367559,0.720296986,0.665223861,0.688386651,0.848113809,0.815849887,0.903941329,0.870147629,0.593035137,0.75965846,0.771894828,0.694736398,0.682407019,0.878094148,0.778065766,0.762549465,0.797876759,0.812862173,0.506677997,0.810039475,0.703794355,0.648016342,0.557880147,0.741919946,0.529024129,0.819479742,0.538136781,0.886149526,0.848812497,0.582945307,0.659793557,0.675979879,0.766515301
21,pants,0.777597659,0.736485275,0.794515507,0.776589514,0.731372295,0.805345457,0.596717642,0.75030798,0.754077865,0.81443059,0.657407995,0.748989619,0.619248567,0.584521232,0.699218001,0.783188832,0.764099305,0.819887032,0.759233212,0.588114407,0.827948141,1.0,0.865916318,0.878316815,0.880860449,0.83566749,0.71474048,0.759072386,0.757997792,0.668621807,0.711352484,0.696292872,0.733055944,0.84279423,0.803872175,0.681362593,0.885949613,0.746680466,0.689535532,0.632106804,0.829314012,0.798805355,0.850941563,0.812710126,0.785743367,0.645163871,0.823520589,0.751564371,0.675687914,0.669412903,0.492069519,0.477946129,0.858527356,0.495714492,0.809119976,0.848815256,0.570420861,0.72454669,0.629747213,0.704128763
22,skirt,0.822725442,0.790998479,0.769078181,0.799265025,0.749963233,0.688186979,0.486777218,0.759454866,0.678832013,0.795284562,0.679265063,0.707863696,0.613320106,0.62287305,0.670783491,0.687193897,0.698549971,0.752097957,0.739121469,0.551122054,0.865761827,0.865916318,1.0,0.854746719,0.860094849,0.764314134,0.699088663,0.736466732,0.639297424,0.618989006,0.731742127,0.775325391,0.791146743,0.84693518,0.871230251,0.604595256,0.756048082,0.69959197,0.687231263,0.583872996,0.836926278,0.76803801,0.762569009,0.774056619,0.799188975,0.548275816,0.777021774,0.716744511,0.59593327,0.593990511,0.587416534,0.492523497,0.792461766,0.491345597,0.854875146,0.833014104,0.564681743,0.670851415,0.6261551,0.729970319
23,coat,0.889298708,0.816333531,0.796006332,0.839576263,0.80839529,0.746118895,0.645293442,0.794848919,0.811017044,0.859837076,0.690409427,0.746116153,0.715657844,0.643028006,0.692567142,0.765228337,0.757287464,0.825563387,0.798309313,0.606607053,0.89875599,0.878316815,0.854746719,1.0,0.90341942,0.817126152,0.761257926,0.779481698,0.825640133,0.717403947,0.731850374,0.739199003,0.829033115,0.905484733,0.847721912,0.686053635,0.794406556,0.695038198,0.760263062,0.721120297,0.922602931,0.758841099,0.866737152,0.799033637,0.805573441,0.637778916,0.862354792,0.778252799,0.751441453,0.697798469,0.641827192,0.586026085,0.854764083,0.623967557,0.839451481,0.893446258,0.635014254,0.717670879,0.73645814,0.817677687
24,dress,0.830805115,0.784708602,0.832870582,0.818859773,0.754663892,0.77805202,0.627562314,0.82030291,0.787592796,0.814319392,0.636133353,0.698227468,0.631703128,0.557778552,0.644625981,0.744910849,0.723433316,0.772528879,0.745112593,0.560488847,0.865961853,0.880860449,0.860094849,0.90341942,1.0,0.818850133,0.701571023,0.681679427,0.716464546,0.621269653,0.725914156,0.731091386,0.813959659,0.870956339,0.830270789,0.655356724,0.822383253,0.732330889,0.681470549,0.637904963,0.849603048,0.81148764,0.793458852,0.758435373,0.804971081,0.598557693,0.856596325,0.693654686,0.663329108,0.62141993,0.583752631,0.506031638,0.829334972,0.539895224,0.828975141,0.870090035,0.535722579,0.691406791,0.642177181,0.74992902
25,chair,0.768305572,0.672516469,0.747876261,0.667373596,0.600178921,0.726622306,0.494652372,0.716268596,0.686106034,0.833236722,0.722703039,0.798393144,0.739525357,0.656851949,0.773272163,0.820098141,0.87249887,0.819035964,0.856907448,0.645631875,0.807422864,0.83566749,0.764314134,0.817126152,0.818850133,1.0,0.818560412,0.765744862,0.793110203,0.801286099,0.52252058,0.689175445,0.645482832,0.778991971,0.703484649,0.570420073,0.856120529,0.821375485,0.606332967,0.590411027,0.813317323,0.749886712,0.809802679,0.850369755,0.783766997,0.469605234,0.825624003,0.592992412,0.611439047,0.544364721,0.506024159,0.398246994,0.847934562,0.454848851,0.78943452,0.817604888,0.583464111,0.757181995,0.698081852,0.690254812
26,dresser,0.788659182,0.722362283,0.595316435,0.61683786,0.617453614,0.481023285,0.45272794,0.643745776,0.639404017,0.831033567,0.800104462,0.768729183,0.793933054,0.752717445,0.801852237,0.762004908,0.809828167,0.769793529,0.827465699,0.789760667,0.770475321,0.71474048,0.699088663,0.761257926,0.701571023,0.818560412,1.0,0.784470989,0.806769923,0.851488208,0.48025565,0.704154453,0.664420148,0.724899818,0.699067356,0.573774198,0.73767788,0.726019259,0.617769229,0.625410112,0.75014778,0.634113924,0.698539355,0.819312871,0.770499743,0.440810092,0.706687106,0.605985128,0.6425295,0.547183576,0.565132174,0.487752711,0.785302214,0.534382319,0.770414637,0.757685176,0.676240769,0.781657034,0.799060446,0.787165726
27,bed,0.725328151,0.751570919,0.598145815,0.701655299,0.736044882,0.547282305,0.465465233,0.535472729,0.619547935,0.805235874,0.785024493,0.789395574,0.775475133,0.786974604,0.838800485,0.765522064,0.825031937,0.866802607,0.792396252,0.672149049,0.735367559,0.759072386,0.736466732,0.779481698,0.681679427,0.765744862,0.784470989,1.0,0.824842019,0.82789783,0.582138016,0.693247393,0.580115111,0.716610856,0.704984707,0.623332219,0.660367821,0.595152997,0.707211543,0.662246945,0.797114162,0.545031941,0.833454184,0.836359256,0.687490303,0.543867593,0.643419822,0.733888026,0.698946459,0.634924366,0.475872438,0.483395374,0.695193244,0.554463087,0.728105006,0.771604304,0.761584912,0.770276321,0.746601091,0.729726117
28,table,0.726812679,0.676546436,0.579006288,0.631825926,0.659164432,0.60754954,0.646708311,0.617186281,0.754221143,0.835152653,0.68627747,0.754383815,0.759230694,0.643337027,0.750694445,0.788327329,0.818430195,0.854756698,0.796831059,0.695106681,0.720296986,0.757997792,0.639297424,0.825640133,0.716464546,0.793110203,0.806769923,0.824842019,1.0,0.841715752,0.553149834,0.584948774,0.602011901,0.714499023,0.642649571,0.693387111,0.740342507,0.606540877,0.725705687,0.706841819,0.789673356,0.568220788,0.858450688,0.777059013,0.696652535,0.637588248,0.740737321,0.696235973,0.804633983,0.695338948,0.428788469,0.543479277,0.757841592,0.608504532,0.666310468,0.784173128,0.713096448,0.769847735,0.788410112,0.780612645
29,desk,0.684068891,0.627647409,0.501265189,0.530369266,0.567477179,0.484900992,0.43256107,0.496074686,0.557413509,0.805243985,0.79175051,0.814317243,0.827408497,0.795820526,0.8325866,0.769266091,0.874760808,0.842659125,0.82989874,0.742040004,0.665223861,0.668621807,0.618989006,0.717403947,0.621269653,0.801286099,0.851488208,0.82789783,0.841715752,1.0,0.437965728,0.590287493,0.543687566,0.63952067,0.586403924,0.508612383,0.67201073,0.603767844,0.575935389,0.567125417,0.71165726,0.525733386,0.767603301,0.792710939,0.682141952,0.410159366,0.643471021,0.531693291,0.611446282,0.520458649,0.384404592,0.404495099,0.699621635,0.484119048,0.669862606,0.715910414,0.739773632,0.840374772,0.809298803,0.768639401
30,ant,0.691065309,0.777583321,0.754469333,0.800460746,0.834808854,0.636324321,0.635829456,0.691927354,0.659345614,0.711491698,0.458603101,0.617471515,0.505037455,0.474113703,0.467081394,0.531765466,0.514300303,0.636946282,0.481416471,0.398586211,0.688386651,0.711352484,0.731742127,0.731850374,0.725914156,0.52252058,0.48025565,0.582138016,0.553149834,0.437965728,1.0,0.619422411,0.814444882,0.800049469,0.776169155,0.598748876,0.571693032,0.394931358,0.643021507,0.536993024,0.688430578,0.675458094,0.691496217,0.515285692,0.675206668,0.578977407,0.619803448,0.658762767,0.620888396,0.590045484,0.411848418,0.512512812,0.619320153,0.554287526,0.689798887,0.783338758,0.598767616,0.625851346,0.623240117,0.722792673
31,butterfly,0.738073095,0.782225628,0.704328593,0.77624432,0.729092372,0.501622045,0.300019552,0.634289543,0.525790679,0.732496193,0.766716317,0.68452823,0.703173207,0.719488943,0.667500189,0.705776915,0.635679261,0.675624229,0.709505834,0.62696496,0.848113809,0.696292872,0.775325391,0.739199003,0.731091386,0.689175445,0.704154453,0.693247393,0.584948774,0.590287493,0.619422411,1.0,0.689760037,0.802543497,0.808363896,0.464449523,0.630809859,0.697902414,0.572775595,0.67311556,0.733571706,0.734989992,0.626146582,0.754739467,0.765942178,0.353504489,0.630355712,0.639348844,0.557292906,0.426628493,0.728919549,0.40122399,0.70399015,0.470191715,0.834169641,0.722424798,0.615876944,0.622989038,0.567112975,0.68822445
32,fly,0.870236862,0.85273199,0.799885371,0.828590811,0.807929669,0.631929108,0.632948023,0.802938678,0.762990254,0.783215905,0.561849345,0.625255865,0.614139975,0.545242003,0.539199224,0.576131909,0.591278273,0.664989192,0.617041171,0.489603209,0.815849887,0.733055944,0.791146743,0.829033115,0.813959659,0.645482832,0.664420148,0.580115111,0.602011901,0.543687566,0.814444882,0.689760037,1.0,0.882149746,0.850213553,0.579069031,0.65721208,0.582921476,0.659715139,0.548620009,0.795193471,0.751971156,0.682792244,0.603896468,0.774820095,0.534317781,0.765552175,0.649089183,0.603841756,0.547716757,0.607167975,0.572115791,0.743052076,0.604350153,0.785247857,0.849897947,0.539664813,0.640617879,0.728240038,0.822812718
33,bee,0.902443335,0.890532568,0.87522165,0.878087641,0.826074555,0.736508448,0.567509768,0.819981077,0.758505529,0.858016698,0.70316454,0.725678048,0.717945394,0.665360655,0.658002773,0.74220725,0.729614406,0.783280872,0.754878537,0.604512597,0.903941329,0.84279423,0.84693518,0.905484733,0.870956339,0.778991971,0.724899818,0.716610856,0.714499023,0.63952067,0.800049469,0.802543497,0.882149746,1.0,0.907987815,0.622720003,0.76177572,0.70281804,0.699104657,0.693959602,0.885093109,0.826020932,0.800277025,0.76382325,0.805240176,0.545985883,0.829539654,0.705109357,0.661926334,0.574615241,0.677455135,0.506894918,0.844243787,0.581630692,0.852035377,0.908591763,0.646222464,0.737952799,0.734187108,0.818343169
34,beetle,0.857444971,0.866393818,0.785367315,0.859937873,0.809364225,0.64323606,0.531996479,0.761996747,0.725092531,0.811721813,0.649770817,0.690654541,0.634083092,0.609945478,0.614349915,0.627556462,0.653872711,0.707544795,0.676641461,0.568431229,0.870147629,0.803872175,0.871230251,0.847721912,0.830270789,0.703484649,0.699067356,0.704984707,0.642649571,0.586403924,0.776169155,0.808363896,0.850213553,0.907987815,1.0,0.656232532,0.694613962,0.64103424,0.749106388,0.653837762,0.831197222,0.758737361,0.750171158,0.720387681,0.779329066,0.605744816,0.775265327,0.737456563,0.652561668,0.622358293,0.669381768,0.5629198,0.776932704,0.635357341,0.844724779,0.859050488,0.63576294,0.675058733,0.692186195,0.793873121
35,knife,0.587953209,0.61682992,0.514734552,0.576218965,0.615566636,0.544385492,0.702187441,0.568099363,0.705812614,0.658340823,0.406868658,0.530042573,0.408635402,0.338148103,0.460665555,0.49872019,0.522676639,0.607516523,0.522387519,0.50039137,0.593035137,0.681362593,0.604595256,0.686053635,0.655356724,0.570420073,0.573774198,0.623332219,0.693387111,0.508612383,0.598748876,0.464449523,0.579069031,0.622720003,0.656232532,1.0,0.638849239,0.431836063,0.862473274,0.634680943,0.644106517,0.521603232,0.695276214,0.577754738,0.598521084,0.866136364,0.697504032,0.808169858,0.848862867,0.869628013,0.413246555,0.654923397,0.611017418,0.753891087,0.540645959,0.698375455,0.509632497,0.549012792,0.565087875,0.6249867
36,bottle,0.695384921,0.644272957,0.758616479,0.664465763,0.583203593,0.768682912,0.5398708,0.715812151,0.69414416,0.793957896,0.648570301,0.724321304,0.646003814,0.55222093,0.697161418,0.817402935,0.774935902,0.763216352,0.781100753,0.645831232,0.75965846,0.885949613,0.756048082,0.794406556,0.822383253,0.856120529,0.73767788,0.660367821,0.740342507,0.67201073,0.571693032,0.630809859,0.65721208,0.76177572,0.694613962,0.638849239,1.0,0.840826423,0.596698397,0.635557207,0.72967965,0.804046459,0.761043339,0.813420469,0.804734507,0.552412714,0.804629141,0.626626865,0.641680828,0.584066225,0.493462045,0.42952609,0.832811703,0.440403243,0.768282283,0.786941357,0.502811761,0.728352525,0.628852832,0.654318991
